time,open,high,close,low,Volume
04/06/2010,5.5,5.6,5.55,5.5,14060000
04/07/2010,5.55,5.6,5.55,5.55,11340000
04/08/2010,5.55,5.6,5.5,5.5,6090000
04/09/2010,5.5,5.6,5.55,5.5,6410000
04/12/2010,5.55,5.65,5.6,5.55,12290000
4/13/2010,5.6,5.7,5.6,5.5,15660000
4/14/2010,5.6,5.85,5.75,5.65,14060000
4/15/2010,5.75,5.95,5.8,5.8,9700000
4/16/2010,5.8,5.9,5.8,5.65,19700000
4/19/2010,5.8,5.8,5.65,5.5,10260000
4/20/2010,5.65,5.85,5.75,5.7,5970000
4/21/2010,5.75,5.85,5.8,5.75,5880000
4/22/2010,5.8,5.9,5.8,5.5,5610000
4/23/2010,5.8,5.9,5.8,5.8,4530000
4/26/2010,5.8,5.9,5.8,5.8,9340000
4/27/2010,5.8,5.9,5.8,5.8,11590000
4/28/2010,5.8,5.9,5.8,5.8,7230000
4/29/2010,5.8,5.9,5.8,5.8,4450000
4/30/2010,5.8,5.9,5.8,5.8,4290000
05/03/2010,5.8,5.9,5.8,5.8,6670000
05/04/2010,5.8,5.9,5.8,5.8,9470000
05/05/2010,5.8,6,5.95,5.8,35650000
05/06/2010,5.95,6.05,5.95,5.95,42930000
05/07/2010,5.95,6,5.9,5.9,41050000
05/10/2010,5.9,6,5.75,5.6,8520000
05/11/2010,5.75,5.8,5.65,5.6,5000000
05/12/2010,5.65,5.7,5.6,5.55,11660000
5/13/2010,5.6,5.8,5.65,5.6,75200000
5/14/2010,5.65,5.8,5.7,5.6,72930000
5/17/2010,5.7,5.7,5.6,5.45,47210000
5/18/2010,5.6,5.7,5.55,5.5,6950000
5/19/2010,5.55,5.6,5.55,5.55,27300000
5/20/2010,5.55,5.6,5.55,5.5,15530000
5/21/2010,5.55,5.65,5.55,5.55,29760000
5/24/2010,5.55,5.6,5.5,5.5,18550000
5/25/2010,5.5,5.6,5.4,5.35,36570000
5/26/2010,5.4,5.7,5.4,5.3,150960000
5/27/2010,5.4,5.9,5.3,5.1,83670000
5/28/2010,5.3,5.65,5.5,5.3,10860000
5/31/2010,5.5,5.6,5.55,5.4,2070000
06/02/2010,5.55,5.65,5.55,5.2,9680000
06/03/2010,5.55,5.65,5.55,5.5,4530000
06/04/2010,5.55,5.65,5.6,5.5,5850000
06/07/2010,5.6,5.6,5.55,5.5,3670000
06/08/2010,5.55,5.6,5.55,5.5,18000000
06/09/2010,5.55,5.55,5.5,5.5,4290000
06/10/2010,5.5,5.6,5.5,5.45,9290000
06/11/2010,5.5,5.65,5.55,5.5,5210000
6/14/2010,5.55,5.65,5.55,5.5,3740000
6/15/2010,5.55,5.7,5.6,5.5,7990000
6/16/2010,5.6,5.9,5.75,5.65,11860000
6/17/2010,5.75,5.9,5.8,5.7,8090000
6/18/2010,5.8,5.85,5.75,5.3,6570000
6/21/2010,5.75,5.8,5.7,5.65,3540000
6/22/2010,5.7,5.8,5.75,5.7,7990000
6/23/2010,5.75,5.8,5.75,5.45,10900000
6/24/2010,5.75,5.9,5.8,5.7,13680000
6/25/2010,5.8,5.9,5.8,5.75,9270000
6/28/2010,5.8,5.85,5.75,5.6,5880000
6/29/2010,5.75,5.85,5.8,5.7,9970000
6/30/2010,5.8,5.9,5.8,5.75,10240000
07/01/2010,5.8,5.9,5.8,5.8,3970000
07/02/2010,5.8,5.85,5.75,5.75,8530000
07/05/2010,5.75,5.85,5.75,5.7,6560000
07/06/2010,5.75,5.95,5.75,5.7,8740000
07/07/2010,5.75,5.8,5.75,5.6,3930000
07/08/2010,5.75,5.85,5.8,5.6,12150000
